"esu_dps_name","esa_pop_name","popid","commonpopname","spawningyear","popfit","popfitnotes","tsaej","nosaej","phosej","nosaij","tsaij","phosij"
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2010","Same",NA,"4426","4031","0.088",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2011","Same",NA,"3939","3738","0.048",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2012","Same",NA,"3840","3659","0.039",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2013","Same",NA,"4707","4068","0.126",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2014","Same",NA,"9350","7871","0.159",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2015","Same",NA,"1698","1366","0.189",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2016","Same",NA,"3982","3312","0.154",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2017","Same",NA,"3066","2661","0.108",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2018","Same",NA,"3885","2817","0.240",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2019","Same",NA,"4786","3566","0.247",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2020","Same",NA,"5504","4593","0.153",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2021","Same",NA,"6066","4792","0.206",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2022","Same",NA,"4907","4377","0.100",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Coweeman River - late","269","Coweeman Coho","2023","Same",NA,"3920","3433","0.113",NA,NA,NA
"Salmon, coho (Lower Columbia River ESU)","Salmon, coho (Lower Columbia River ESU) Elochoman River - late","283","Elochoman/Skamokawa Coho","2010","Same",NA,"3345","942","0.715",NA,NA,NA
